Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Branchinotogluma hessleri;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Branchinotogluma japonicus;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Branchinotogluma marianus;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Branchinotogluma sandersi;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Branchinotogluma segonzaci;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Branchinotogluma trifurcus;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Branchinotogluma tunnicliffeae;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Branchiplicatus cupreus;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Branchipolynoe cf. seepensis;3;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Branchipolynoe longqiensis;2;100;Does not add;Vent;Medium;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Branchipolynoe n. sp. ""Dragon""";3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Branchipolynoe pettiboneae;2;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Branchipolynoe seepensis;3;100;Does not add;Other CBE;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Branchipolynoe symmytilida;2;100;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Brattegardia nanseni;1;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bruceiella globulus;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Bruceiella sp. ESR;3;10;Does not add;Vent;Medium;Detritivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bruceiella wareni;3;10;Does not add;Vent;Low;Detritivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
