Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Provanna laevis;3;10;Does not add;Other CBE;Medium;Detritivore;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Provanna lucida;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Provanna muricata;3;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Provanna nassariaeformis;2;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Provanna segonzaci;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Provanna sp. ESR ""cooki""";3;10;Does not add;Vent;High;Bacterivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Provanna subglabra;2;10;Does not add;Other CBE;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Provanna variabilis;3;10;Does not add;Other CBE;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Pseudoceramaster misakiensis;3;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Pseudorimula marianae;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Pseudorimula midatlantica;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pseudosetia cf. griegi;3;1;Does not add;Other CBE;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Puncturella parvinobilis;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Puncturella rimaizenaensis;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Pyrolycus manusanus;4;1000;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Pyropelta corymba;3;1;Does not add;Other CBE;Medium;Bacterivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyropelta musaica;2;10;Does not add;Other CBE;Low;Detritivore;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Pyropelta ryukyuensis;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Pyropelta yamato;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Retiskenea diploura;3;10;Does not add;Other CBE;Medium;Bacterivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhynchopelta concentrica;3;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Ridgeia piscesae;1;1000;Dense bush forming;Vent;High;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Riftia pachyptila;1;1000;Dense bush forming;Vent;High;Symbiotic;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
Rimicaris chacei;4;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rimicaris exoculata;4;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rimicaris kairei;4;100;Does not add;Vent;High;Bacterivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Rimicaris paulexa;4;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rimicaris sp.;3;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Rimicaris vandoverae;4;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Rimicaris variabilis;4;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Saxipendium coronatum;3;100;Does not add;Vent;Low;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Sclerolinum contortum;1;100;Dense bush forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Seba profunda;2;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Segonzacia mesatlantica;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Segonzackomaius burukovskyi;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sericosura bamberi;3;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sericosura cochleifovea;3;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Sericosura curva;3;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sericosura cyrtoma;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Sericosura dimorpha;3;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sericosura dissita;3;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sericosura heteroscela;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Sericosura mitrata;3;100;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Sericosura venticola;3;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sericosura verenae;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Shinkai longipedata;1;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shinkai semilonga;1;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shinkaia crosnieri;3;100;Does not add;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shinkaicaris leurokolos;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shinkailepas kaikatensis;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Shinkailepas myojinensis;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shinkailepas sp. CIR;2;100;Does not add;Vent;Medium;Bacterivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shinkailepas tollmanni;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Shinkailepas tufari;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Sinepecten segonzaci;2;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Siphonobrachia lauensis;1;100;Open bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sirsoe grasslei;3;100;Does not add;Vent;Medium;Bacterivore;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Sirsoe hessleri;3;10;Does not add;Other CBE;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Skenea profunda;3;1;Does not add;Other CBE;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Skenea sp. nov.;3;1;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Solemya flava;2;100;Burrow forming;Vent;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Solutigyra reticulata;3;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Sphaerodoropsis anae;4;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sphaerosyllis ridgensis;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Spinaxinus caldarium;2;100;Burrow forming;Vent;Medium;Symbiotic;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spinophiura jolliveti;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Spiochaetopterus sp.;3;1000;Open bush forming;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Steleuthera ecoprophycea;3;1;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stenopleustes rainbowi;3;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stenothoe divae;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stenothoe marvela;3;1;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stenothoe menezgweni;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Stephonyx mytilus;4;100;Does not add;Vent;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Sutilizona pterodon;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Sutilizona tunnicliffae;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sycon abyssale;1;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Symmetromphalus hageni;3;10;Mat forming;Vent;High;Symbiotic;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Symmetromphalus regularis;3;10;Mat forming;Vent;High;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Symphurus maculopinnis;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Symphurus thermophilus;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Tectovalopsis diabolus;4;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Tectovalopsis wegeneri;4;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Temnocinclis euripes;2;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Temnozaga parilis;3;1;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Tevnia jerichonana;1;100;Dense bush forming;Vent;High;Symbiotic;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Thalycrocuma sarradini;3;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Themisto abyssorum;4;10;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Thermanemertes valens;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Thermarces cerberus;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Thermiphione fijiensis;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Thermiphione risensis;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Thermiphione tufari;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Thermobiotes mytilogeiton;4;1000;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Thermochiton undocostatus;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Thermopalia taraxaca;1;100;Open bush forming;Vent;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Thermopolynoe branchiata;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Thermosipho auzendei;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Thrausmatos dieteri;3;10;Does not add;Other CBE;Medium;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Thyasira falklandica;2;100;Burrow forming;No;Medium;Symbiotic;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thyasira southwardae;2;100;Burrow forming;Vent;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tindariopsis grasslei;3;100;Burrow forming;Vent;Low;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Transtectonia torrentis;4;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Turneroconcha magnifica;3;1000;Bed forming;Vent;Medium;Symbiotic;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Uroptychus bicavus;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Uroptychus thermalis;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Urticina eques;1;100;Bed forming;No;High;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Veleropilina segonzaci;3;100;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Ventichthys biospeedoi;4;1000;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ventiella sulfuris;4;10;Does not add;Vent;High;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Ventsia tricarinata;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vetulonia phalcata;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Vulcanidas insolatus;1;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vulcanoctopus hydrothermalis;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Vulcanolepas osheai;1;1000;Open bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vulcanolepas parensis;1;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Wareniconcha lepta;3;100;Bed forming;Vent;Low;Symbiotic;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Xandaros acanthodes;2;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xenograpsus ngatama;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Xenograpsus testudinatus;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Xylodiscula analoga;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Xylodiscula major;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
